"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000000003.15",3104.09597678753,-0.602877786729031,0.0923994623005737,-6.52468934037604,6.81426207106908e-11,1.61768864029631e-10,"TSPAN6"
"ENSG00000000005.6",153.562779460968,-3.49697276206681,0.252312606268932,-13.8596830882857,1.1116396277312e-43,1.03146077264269e-42,"TNMD"
"ENSG00000000419.13",2304.32717791152,0.451091886251967,0.0557027330319333,8.09820024438235,5.57782037002503e-16,1.72382248024146e-15,"DPM1"
"ENSG00000000457.14",1568.93932535455,0.390102772685577,0.056407338753027,6.91581594362389,4.65178046894803e-12,1.18161397078854e-11,"SCYL3"
"ENSG00000000460.17",694.326636359056,1.32731305394145,0.0754487103487687,17.5922563527703,2.82405555963476e-69,5.76841296970146e-68,"C1orf112"
"ENSG00000000938.13",578.352776773988,-0.455182498178736,0.10044751275667,-4.53154573654202,5.85536562859254e-06,1.02384782079449e-05,"FGR"
"ENSG00000000971.16",3462.08489104058,-1.41523859958337,0.102178195151998,-13.8506909177452,1.25994326352141e-43,1.16769829596566e-42,"CFH"
"ENSG00000001036.14",2610.46423595674,0.426562934773266,0.0673040813944963,6.33784647134561,2.32998826420531e-10,5.37646037827271e-10,"FUCA2"
"ENSG00000001084.13",2259.73476806819,-0.366169373906279,0.068023961404198,-5.38294692557675,7.32761495301373e-08,1.45370228109145e-07,"GCLC"
"ENSG00000001167.14",3116.37170478331,0.637400635165449,0.0636391008658026,10.0158648769968,1.29821403694079e-23,5.62796532726752e-23,"NFYA"
"ENSG00000001460.18",673.15929005582,-0.0376920161344774,0.0500213096799762,-0.75351917763892,0.451137991528275,0.488849535652101,"STPG1"
"ENSG00000001461.17",2896.4757651935,-0.252295835937056,0.0736269039200267,-3.42667995670575,0.000611008748151634,0.000917170037780106,"NIPAL3"
"ENSG00000001497.18",3379.69778474167,0.473434504140056,0.0470164655248903,10.0695468886197,7.53242966560376e-24,3.29734817619154e-23,"LAS1L"
"ENSG00000001561.7",1841.00365952453,-0.191270181228848,0.104009175790396,-1.83897410757591,0.0659189945207583,0.0807112372943099,"ENPP4"
