"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5683057","MAPK family signaling cascades","47/1011","293/9724",0.160409556313993,1.5428511628064,3.21386458402929,0.00160708762369012,0.0306622114869131,0.0306622114869131,"EGFR/KLB/CNKSR2/NRG1/SPTB/APBB1IP/FGF2/FGF1/GRIN2B/DUSP6/DLG2/SPTBN1/IRS2/PAK3/RGL1/CDC14B/MET/TEK/GFRA2/KALRN/VWF/PPP2R1B/FOXO1/ANGPT1/NCAM1/IL6/RASA4/PDGFA/IL17RD/MRAS/RASGRF2/JUN/RASA3/EGF/NRG2/FGF17/KIT/PIK3R1/FGF7/SHC3/PDGFRA/DUSP1/HBEGF/DAB2IP/FGF16/SPTA1/KL",47
"R-HSA-8851680","Butyrophilin (BTN) family interactions","5/1011","10/9724",0.5,4.80909990108803,4.10501905230832,0.00193770192481893,0.0353941733044244,0.0353941733044244,"PPL/CD209/BTN1A1/BTNL9/XDH",5
"R-HSA-5654228","Phospholipase C-mediated cascade; FGFR4","5/1011","10/9724",0.5,4.80909990108803,4.10501905230832,0.00193770192481893,0.0353941733044244,0.0353941733044244,"KLB/FGF2/FGF1/FGF17/FGF16",5
"R-HSA-5684996","MAPK1/MAPK3 signaling","42/1011","257/9724",0.163424124513619,1.57184588206768,3.16469043773809,0.00194358393345859,0.0353941733044244,0.0353941733044244,"EGFR/KLB/CNKSR2/NRG1/SPTB/APBB1IP/FGF2/FGF1/GRIN2B/DUSP6/DLG2/SPTBN1/IRS2/RGL1/MET/TEK/GFRA2/VWF/PPP2R1B/ANGPT1/NCAM1/IL6/RASA4/PDGFA/IL17RD/MRAS/RASGRF2/RASA3/EGF/NRG2/FGF17/KIT/PIK3R1/FGF7/SHC3/PDGFRA/DUSP1/HBEGF/DAB2IP/FGF16/SPTA1/KL",42
"R-HSA-9843743","Transcriptional regulation of brown and beige adipocyte differentiation","9/1011","29/9724",0.310344827586207,2.98495855929602,3.64643435996034,0.00200233259958474,0.0353941733044244,0.0353941733044244,"ZNF423/PPARGC1A/PPARA/EBF2/ELOVL3/CIDEA/COX7A1/PPARG/PRDM16",9
"R-HSA-9844594","Transcriptional regulation of brown and beige adipocyte differentiation by EBF2","9/1011","29/9724",0.310344827586207,2.98495855929602,3.64643435996034,0.00200233259958474,0.0353941733044244,0.0353941733044244,"ZNF423/PPARGC1A/PPARA/EBF2/ELOVL3/CIDEA/COX7A1/PPARG/PRDM16",9
"R-HSA-9013405","RHOD GTPase cycle","13/1011","52/9724",0.25,2.40454995054402,3.45917537250319,0.00205154164332953,0.0357384500765521,0.0357384500765521,"ESYT1/ARHGAP26/AKAP12/CAV1/CPNE8/FILIP1/STBD1/MCAM/DIAPH2/ADD3/PIK3R1/PAK5/GOLGA8R",13
"R-HSA-1296071","Potassium Channels","18/1011","84/9724",0.214285714285714,2.06104281475201,3.32679391505711,0.00213383304361345,0.0366409616917624,0.0366409616917624,"KCNA5/KCNH8/KCNA1/KCNA6/HCN1/KCNJ16/KCNB1/ABCC9/GNG7/KCNMB1/KCNAB1/KCNC4/KCNA2/KCNS1/GNG2/KCNJ2/GNG11/KCNJ8",18
"R-HSA-5673001","RAF/MAP kinase cascade","41/1011","251/9724",0.163346613545817,1.5711003660925,3.12246367188757,0.00220618880012183,0.0373498441936118,0.0373498441936118,"EGFR/KLB/CNKSR2/NRG1/SPTB/APBB1IP/FGF2/FGF1/GRIN2B/DUSP6/DLG2/SPTBN1/IRS2/RGL1/MET/TEK/GFRA2/VWF/PPP2R1B/ANGPT1/NCAM1/RASA4/PDGFA/IL17RD/MRAS/RASGRF2/RASA3/EGF/NRG2/FGF17/KIT/PIK3R1/FGF7/SHC3/PDGFRA/DUSP1/HBEGF/DAB2IP/FGF16/SPTA1/KL",41
"R-HSA-6806667","Metabolism of fat-soluble vitamins","11/1011","41/9724",0.268292682926829,2.58049262985211,3.45438946946831,0.00243978484296204,0.0405880569465397,0.0405880569465397,"RBP4/AKR1C1/GPIHBP1/LRP1/AKR1C3/VKORC1L1/LPL/TTPA/APOB/RETSAT/GPC3",11
