"pathway","pval","padj","log2err","ES","NES","size","pathway_label"
"KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT",5.83029223746347e-05,0.000502302100458391,0.557332238758646,0.704780324943441,2.04769075982517,19,"Reference Kinetochore Microtubule Attachment"
"KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY",7.5658918538971e-05,0.000627688805656648,0.538434096309916,-0.43098861197693,-1.85435832541275,84,"Reference Gf Rtk Ras Erk Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_NUCLEATION",0.000108648020312756,0.000869184162502051,0.538434096309916,0.635366067982097,2.01066206245359,27,"Reference Microtubule Nucleation"
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY",0.000143738802752869,0.00111025833850492,0.518848077743792,0.73068957529423,2.02979053958578,16,"Reference Traip Dependent Replisome Disassembly"
"KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE",0.000170766005815136,0.00127505284341968,0.518848077743792,0.72407660415762,2.01142029494908,16,"Reference Cohesin Dissociation in Anaphase"
"KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION",0.000242770313167292,0.0017542112951443,0.518848077743792,0.648920630183946,1.97729851340709,22,"Reference Kinetochore Fiber Organization"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING",0.000305439494379073,0.00213807646065351,0.49849310876659,0.721409186383076,1.96597612377567,15,"Pathogen Htlv 1 Tax to Spindle Assembly Checkpoint Signaling"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS",0.000332974126894836,0.00226018801286192,0.49849310876659,0.664900485661243,1.9318226296982,19,"Reference Microtubule Depolymerization at the Minus Ends"
"KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY",0.000344353898083852,0.00226868450502302,0.49849310876659,-0.494715535217396,-1.9573005040865,48,"Reference Rtk Plcg Itpr Signaling Pathway"
"KEGG_MEDICUS_REFERENCE_BRANCHING_MICROTUBULE_NUCLEATION",0.000456213062984359,0.0029197636030999,0.49849310876659,0.57272283874584,1.90198237438783,32,"Reference Branching Microtubule Nucleation"
"KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA",0.000675281783448324,0.00420175331923402,0.477270815362862,0.575031319854205,1.8686349122718,30,"Reference Nuclear Export of Mrna"
"KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE",0.000802465436495828,0.00485816912905582,0.477270815362862,0.674946198915858,1.94081193833136,18,"Reference Assembly and Trafficking of Telomerase"
"KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS",0.000992071727261427,0.00584800176069894,0.45505986738723,0.617028318722353,1.90330997582511,23,"Reference Gpi Anchor Biosynthesis"
"KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S",0.00139191914072631,0.00799461250058191,0.45505986738723,0.681578847536759,1.85743093658952,15,"Variant Amplified Myc to P27 Cell Cycle G1 s"
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL",0.00143305728767221,0.00802512081096439,0.45505986738723,-0.555740431032223,-1.88447631462428,25,"Reference Regulation of Gf Rtk Ras Erk Signaling Ubiquitination of Rtk by Cbl"
"KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS",0.00151255147674633,0.00826369587295558,0.45505986738723,0.45309513208451,1.71381570193701,61,"Reference Mitochondrial Complex Ucp1 in Thermogenesis"
