"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","14/858","49/7232",0.285714285714286,2.40825840825841,3.62881021050916,0.00122336998850317,0.0167193898428767,0.0167193898428767,"ADH6/GSTM5/ALDH3A1/ADH1B/ADH4/GSTM2/MAOA/UGT2B28/AOX1/MGST1/FMO2/ADH1A/ADH1C/CYP3A4",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","31/858","150/7232",0.206666666666667,1.74197358197358,3.36893712619575,0.00127792765708118,0.0167664108609051,0.0167664108609051,"GRIN2B/SLC1A7/GLRA3/ADRA2A/GRIK1/ADCY5/ADRA1A/GABRA2/DRD2/ADRA2B/GNG7/TACR1/P2RY14/PRKCA/GNAI1/HTR2A/SLC17A7/PENK/P2RY12/SLC6A2/GNG2/GNAL/GNG11/ADCY4/SLC1A3/ADRB2/P2RX6/TAC1/GRIA4/GABRE/ADRB1",31
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","30/858","145/7232",0.206896551724138,1.74391126115264,3.31979076795147,0.00149193770973782,0.0188213680305386,0.0188213680305386,"SLC8A3/IRS2/ADRA2A/PDE2A/ADCY5/ATP2B4/ADRA1A/ATP1A2/ADRA2B/KCNMB1/MYL9/GNAI1/NPR2/FXYD2/MYLK/RGS2/CNGA1/TRPC6/EDNRB/ATP1B2/MEF2C/IRAG1/NPR1/CREB5/ADCY4/KCNJ8/PDE3B/ADRB2/PLN/ADRB1",30
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","16/858","62/7232",0.258064516129032,2.17520114294308,3.40945739010475,0.00185492997932997,0.0225339641933418,0.0225339641933418,"PTGER4/ADCY5/GNAI1/PDE1B/EDN1/KCNJ2/PDE1C/NPR1/ADCYAP1R1/PDE1A/PDE3B/ADRB2/AQP1/EDN3/CLCA4/ADRB1",16
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","21/858","92/7232",0.228260869565217,1.92398905442384,3.27226471612199,0.0021279056030561,0.0249268942072286,0.0249268942072286,"ITGA7/LAMA1/MYL3/SGCB/SGCG/SLC8A3/NOS1/ADCY5/IGF1/DMD/ITGA9/DES/LAMA2/ITGA1/CACNA2D1/SSPN/SGCA/ADCY4/PLN/ACTC1/ADRB1",21
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","33/858","169/7232",0.195266272189349,1.64588074647246,3.11700775538657,0.00244125933862709,0.0276114849334374,0.0276114849334374,"ERG/MITF/BCL6/NGFR/DUSP6/RUNX1T1/TSPAN7/HOXA10/IGF1/MET/CDKN2C/NR4A3/HOXA9/ZBTB16/FOXO1/PER2/CEBPA/ZEB1/IL6/PDGFA/PAX3/TGFBR2/TMPRSS2/PPARG/FLI1/ETV1/MEF2C/LMO2/MPO/RXRG/MAF/ELANE/ETV5",33
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","28/858","137/7232",0.204379562043796,1.7226957956885,3.13311551356407,0.00255143196033659,0.02789565609968,0.02789565609968,"AGPAT2/EGFR/AVPR1A/PLPP3/PLA2G4A/RRAS2/LPAR6/ADCY5/AVPR2/RAPGEF3/PIP5K1B/PRKCA/PDGFA/MRAS/CXCR2/PLD1/EGF/DGKB/KIT/PIK3R1/FCER1A/SHC3/DGKI/PDGFRA/PDGFD/PTGFR/ADCY4/PLPP1",28
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","14/858","53/7232",0.264150943396226,2.22650305669174,3.28784540041773,0.00277216156403923,0.0287394743265547,0.0287394743265547,"ADH6/AKR1C1/GSTM5/ALDH3A1/ADH1B/ADH4/GSTM2/UGT2B28/MGST1/HSD11B1/CYP1A1/ADH1A/ADH1C/CYP3A4",14
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","37/858","197/7232",0.187817258883249,1.5830937252257,3.04422133444283,0.00280385115381021,0.0287394743265547,0.0287394743265547,"EGFR/APBB1IP/ID1/KDR/FGF2/FGF1/PRKD1/GRIN2B/CNR1/NGFR/ADCY5/IGF1/MET/TEK/DRD2/ARAP3/RAPGEF3/VEGFD/ANGPT1/PRKCA/PDGFA/GNAI1/MRAS/TLN2/MAP2K6/ANGPT4/EGF/FGF17/KIT/PIK3R1/FGF7/PDGFRA/PDGFD/ADCY4/FGF16/FLT4/EPHA2",37
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","10/858","32/7232",0.3125,2.63403263403263,3.39864858751225,0.00291844769570524,0.0290076013391309,0.0290076013391309,"ABCG8/AGPAT2/ABCA1/PLPP3/CD36/PLA2G5/DGAT2/APOB/PLPP1/PLA2G2A",10
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","9/858","28/7232",0.321428571428571,2.70929070929071,3.32464202899528,0.00379452242174295,0.0366059810097555,0.0366059810097555,"AMY2B/GYG2/PGM1/PYGL/GBE1/TREH/UGP2/MGAM2/PYGM",9
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","12/858","44/7232",0.272727272727273,2.29879211697394,3.17028819215791,0.00410449131114499,0.0384649471444445,0.0384649471444445,"ADH6/ALDH2/PC/ADH1B/ME1/ADH4/PCK1/ACACB/LDHD/ACSS2/ADH1A/ADH1C",12
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","14/858","56/7232",0.25,2.10722610722611,3.05158808875496,0.00477499299278932,0.0429586557975414,0.0429586557975414,"AGPAT2/PLPP3/ALDH2/GPAT3/GPAM/LPL/LPIN1/PNPLA2/DGKB/DGAT2/DGKI/MGLL/GLYCTK/PLPP1",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","19/858","86/7232",0.22093023255814,1.86219981568819,2.95095400541955,0.00497405924576348,0.0429586557975414,0.0429586557975414,"CCL14/CX3CL1/CCL24/CCL23/CX3CR1/CCL2/CXCL12/CCL13/ACKR4/CCL16/TNFRSF10D/IL6/ACKR3/CCL21/CXCR2/IL34/CXCL2/CCL28/CXCL3",19
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","23/858","111/7232",0.207207207207207,1.74652974652975,2.9078694789103,0.00497691743995907,0.0429586557975414,0.0429586557975414,"PPARGC1A/SLC2A4/ADIPOQ/IRS2/PCK1/IGF1/ACACB/ADRA1A/CD36/PPP2R1B/FOXO1/PFKFB3/CAB39L/PFKFB1/LEP/PPP2R2B/CIDEA/LIPE/PPARG/PIK3R1/CREB5/LEPR/SCD",23
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","58/858","354/7232",0.163841807909605,1.38100694032897,2.69674714200042,0.00592418728469082,0.0498239340866305,0.0498239340866305,"LHFPL6/SCN2B/PCDHGA2/EGFR/DSC1/PCDHGA3/FZD4/AMOTL1/KDR/KRT15/KRT14/PCDH9/RRAS2/FAT4/YAP1/CDH23/DAAM2/KRT17/FZD5/MET/CDH8/CDH12/CDH22/VIM/GABRA2/FAT2/CDH20/PCDHGB7/PCDHGA9/MAPK10/WNT10B/DES/SCN3B/SCN5A/PCDH18/CDH5/TMIE/TMC2/MRAS/TEAD1/CTNNA3/WNT11/PRICKLE2/SCN4B/PCDHGB6/PCDHB15/FZD7/MYO1H/PDGFRA/CDH13/MPDZ/KRT5/AMOTL2/SAV1/TCF7L2/PCDHB4/FLT4/GABRE",58
