"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","humoral immune response","64/2174","198/14866",0.323232323232323,2.21029057827586,7.09551613360767,1.99014206326639e-10,9.21899289976032e-08,9.21899289976032e-08,"CXCL10/FOXJ1/PDCD1/C4B/C4A/TOR2A/CR2/IGHG1/LYZ/H2BC4/CXCL13/H2BC21/H2BC9/H2BC6/H2BC11/CCL5/WFDC3/IGHE/CCL19/H2BC7/IGHM/H2BC17/S100A7/KRT1/IFNG/CCL7/KRT6A/S100A9/CCL11/C8G/SLC11A1/GZMK/PRTN3/FGB/CXCL9/FCMR/MS4A1/IGHG3/CCR7/CST9L/DCD/IGHG4/WFDC2/H2BC5/CCL20/SUSD4/CCL17/H2BC8/TREM1/H2BC15/GAPDH/PGLYRP4/PRSS2/CST9/AZU1/H2BC19P/IGHG2/COLEC10/H2BC13/CAMP/H2BC18/CFB/CXCL11/H2BC12",64
"GO:0051321","meiotic cell cycle","71/2174","230/14866",0.308695652173913,2.11088756449742,7.02700103894772,2.14187637554935e-10,9.21899289976032e-08,9.21899289976032e-08,"DCAF13/CDC25C/ANAPC11/P3H4/TDRKH/RAD51/SGO1/CENPS/RAD51AP1/TUBG1/NEK2/REC8/ZWINT/RAD54B/EME1/CDCA2/MKI67/PSMB3/KNL1/BRCA2/EXO1/PTTG1/TRIP13/HSF2BP/EME2/TDRD1/PKMYT1/TUBB8/FANCD2/SMC4/TDRD12/NDC80/MAEL/CENPX/FBXO43/RMI1/SKA1/RAD21/BRDT/TOP2A/NCAPH/TEX14/TEX11/SGO2/CDC25A/SMC1B/HUS1B/ESPL1/SPIRE2/MAPK15/AURKA/KASH5/SKA3/ASPM/RAD54L/H2AX/XRCC2/RSPH1/SYCP2/NUF2/MYBL1/HORMAD1/CDC20/CDC25B/PRR19/TTK/SYCE3/TESMIN/BRIP1/MAJIN/BUB3",71
"GO:0002227","innate immune response in mucosa","17/2174","23/14866",0.739130434782609,5.05423783048678,8.05303322665458,2.52861038022043e-10,9.34061792285756e-08,9.34061792285756e-08,"H2BC4/H2BC21/H2BC9/H2BC6/H2BC11/H2BC7/H2BC17/H2BC5/H2BC8/H2BC15/RNASE2/BPIFB1/H2BC19P/H2BC13/CAMP/H2BC18/H2BC12",17
"GO:1901988","negative regulation of cell cycle phase transition","73/2174","240/14866",0.304166666666667,2.07991796994787,6.98040786508374,2.53182286389169e-10,9.34061792285756e-08,9.34061792285756e-08,"ZWILCH/CDCA8/TELO2/CDC7/BLM/RAD51/HASPIN/CDC6/PARP9/ZWINT/TIMELESS/ORC1/CDKN2D/EME1/AURKB/CDC45/KNL1/BRCA2/DONSON/E2F1/CENPF/MAD2L1/TRIP13/WDR76/EME2/CDK1/SUSD2/PKMYT1/INHBA/FANCD2/BARD1/DNA2/RFC2/FBXO6/PLK1/E2F7/NDC80/KNTC1/GEN1/BUB1/SPC24/RFC4/GPR132/SKA1/RAD21/CAMSAP3/DTL/CHEK1/CLSPN/TEX14/MACROH2A1/BRCA1/MUC1/HUS1B/CDT1/BIRC5/CCND1/TICRR/SKA3/H2AX/BUB1B/BRSK1/NUF2/HORMAD1/CDC20/SPC25/DBF4/INTS7/SOX2/TTK/BRIP1/CCNB1/BUB3",73
"GO:0051304","chromosome separation","36/2174","85/14866",0.423529411764706,2.89613074300557,7.25559493616895,5.23751420628594e-10,1.80345072503113e-07,1.80345072503113e-07,"ZWILCH/ANAPC11/NCAPG2/CDCA8/HASPIN/ZWINT/AURKB/UBE2C/KNL1/NCAPG/CENPF/MAD2L1/TRIP13/DLGAP5/SMC4/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/SKA1/RAD21/NCAPH/TEX14/ESPL1/BIRC5/MAPK15/SKA3/BUB1B/NUF2/CDC20/SPC25/TTK/CCNB1/BUB3",36
"GO:0010965","regulation of mitotic sister chromatid separation","31/2174","67/14866",0.462686567164179,3.16389075780252,7.34689347966513,5.77749553347788e-10,1.86504777690083e-07,1.86504777690083e-07,"ZWILCH/ANAPC11/CDCA8/HASPIN/ZWINT/AURKB/UBE2C/KNL1/CENPF/MAD2L1/TRIP13/DLGAP5/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/SKA1/RAD21/TEX14/ESPL1/BIRC5/SKA3/BUB1B/NUF2/CDC20/SPC25/TTK/CCNB1/BUB3",31
"GO:0000070","mitotic sister chromatid segregation","63/2174","199/14866",0.316582914572864,2.16482134684462,6.84640219203905,7.14520057687343e-10,2.17088005762066e-07,2.17088005762066e-07,"ZWILCH/ANAPC11/KIF18B/SPAG5/NCAPG2/CDCA8/KIF15/KIF18A/HASPIN/TPX2/TUBG1/ZWINT/KIF4A/AURKB/CENPA/KIF23/RRS1/CHMP4BP1/UBE2C/KNL1/NCAPG/CENPK/RCC1/CENPF/MAD2L1/TRIP13/CDK1/DLGAP5/KIF2C/SMC4/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/CENPE/SKA1/RAD21/NCAPH/TEX14/KIF11/CENPI/KIF14/KIFC1/CDT1/ESPL1/BIRC5/UHRF1/KIF22/KNSTRN/MISP/SKA3/BUB1B/NUF2/CDC20/SPC25/PRC1/TTK/RACGAP1/PSRC1/CCNB1/BUB3",63
"GO:0051784","negative regulation of nuclear division","30/2174","65/14866",0.461538461538462,3.15603991224966,7.20966590634877,1.17798110644199e-09,3.38015134154049e-07,3.38015134154049e-07,"ZWILCH/CDCA8/HASPIN/ZWINT/AURKB/KNL1/CENPF/MAD2L1/TRIP13/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/FBXO43/SKA1/RAD21/CHEK1/TEX14/BIRC5/SKA3/BUB1B/NUF2/HORMAD1/CDC20/SPC25/TTK/CCNB1/BUB3",30
"GO:0051306","mitotic sister chromatid separation","31/2174","69/14866",0.449275362318841,3.07218377931549,7.1402459768497,1.42829216495281e-09,3.70107343750118e-07,3.70107343750118e-07,"ZWILCH/ANAPC11/CDCA8/HASPIN/ZWINT/AURKB/UBE2C/KNL1/CENPF/MAD2L1/TRIP13/DLGAP5/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/SKA1/RAD21/TEX14/ESPL1/BIRC5/SKA3/BUB1B/NUF2/CDC20/SPC25/TTK/CCNB1/BUB3",31
"GO:0008608","attachment of spindle microtubules to kinetochore","27/2174","55/14866",0.490909090909091,3.35687881575646,7.24725598486424,1.43313589061033e-09,3.70107343750118e-07,3.70107343750118e-07,"ZWILCH/SPAG5/CDCA8/SGO1/NEK2/DSN1/AURKB/KNL1/CDK1/KIF2C/NDC80/KNTC1/SPC24/CENPE/SKA1/ECT2/TEX14/CDT1/BIRC5/KNSTRN/SKA3/NUF2/SPC25/RACGAP1/RCC2/CCNB1/BUB3",27
"GO:0006334","nucleosome assembly","33/2174","77/14866",0.428571428571429,2.93060848994612,7.02938555717207,1.89450391278157e-09,4.6595774807223e-07,4.6595774807223e-07,"CHAF1A/H4C9/H4C12/H2BC4/H3C3/H3C2/H2BC21/H2BC9/H3C12/H2BC6/H2BC11/H4C14/H2BC7/ASF1B/CHAF1B/H4C5/H1-4/H1-5/HMGB2/H4C8/MACROH2A1/H3C8/H2BC8/H2AX/H2BC15/H4C4/ATAD2/H3C6/H3C10/H4C11/H1-2/H2BC13/H1-3",33
"GO:0010948","negative regulation of cell cycle process","78/2174","275/14866",0.283636363636364,1.93952998243707,6.50851120783501,2.32305645583819e-09,4.73438710452175e-07,4.73438710452175e-07,"ZWILCH/CDCA8/TELO2/CDC7/BLM/RAD51/HASPIN/CDC6/PARP9/NEK2/ZWINT/TIMELESS/ORC1/CDKN2D/EME1/AURKB/CDC45/KNL1/CCNF/BRCA2/DONSON/E2F1/CENPF/MAD2L1/TRIP13/WDR76/EME2/CDK1/SUSD2/PKMYT1/INHBA/FANCD2/BARD1/DNA2/RFC2/FBXO6/PLK1/E2F7/NDC80/KNTC1/GEN1/BUB1/SPC24/RFC4/FBXO43/GPR132/SKA1/RAD21/CAMSAP3/DTL/CHEK1/CLSPN/TEX14/MACROH2A1/BRCA1/MUC1/HUS1B/CDT1/ESPL1/BIRC5/CCND1/TICRR/SKA3/E2F8/H2AX/BUB1B/BRSK1/NUF2/HORMAD1/CDC20/SPC25/DBF4/INTS7/SOX2/TTK/BRIP1/CCNB1/BUB3",78
"GO:0033046","negative regulation of sister chromatid segregation","27/2174","56/14866",0.482142857142857,3.29693455118938,7.12709093079054,2.38323455406709e-09,4.73438710452175e-07,4.73438710452175e-07,"ZWILCH/CDCA8/HASPIN/ZWINT/AURKB/KNL1/CENPF/MAD2L1/TRIP13/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/SKA1/RAD21/TEX14/BIRC5/SKA3/BUB1B/NUF2/CDC20/SPC25/TTK/CCNB1/BUB3",27
"GO:0033048","negative regulation of mitotic sister chromatid segregation","27/2174","56/14866",0.482142857142857,3.29693455118938,7.12709093079054,2.38323455406709e-09,4.73438710452175e-07,4.73438710452175e-07,"ZWILCH/CDCA8/HASPIN/ZWINT/AURKB/KNL1/CENPF/MAD2L1/TRIP13/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/SKA1/RAD21/TEX14/BIRC5/SKA3/BUB1B/NUF2/CDC20/SPC25/TTK/CCNB1/BUB3",27
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","27/2174","56/14866",0.482142857142857,3.29693455118938,7.12709093079054,2.38323455406709e-09,4.73438710452175e-07,4.73438710452175e-07,"ZWILCH/CDCA8/HASPIN/ZWINT/AURKB/KNL1/CENPF/MAD2L1/TRIP13/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/SKA1/RAD21/TEX14/BIRC5/SKA3/BUB1B/NUF2/CDC20/SPC25/TTK/CCNB1/BUB3",27
"GO:2000816","negative regulation of mitotic sister chromatid separation","27/2174","56/14866",0.482142857142857,3.29693455118938,7.12709093079054,2.38323455406709e-09,4.73438710452175e-07,4.73438710452175e-07,"ZWILCH/CDCA8/HASPIN/ZWINT/AURKB/KNL1/CENPF/MAD2L1/TRIP13/PLK1/NDC80/KNTC1/GEN1/BUB1/SPC24/SKA1/RAD21/TEX14/BIRC5/SKA3/BUB1B/NUF2/CDC20/SPC25/TTK/CCNB1/BUB3",27
